experiment_id,encoder,retriever,reranker,sequence_model,rag_enabled,top_k,seed,device,status,error_message,git_commit,dataset_hash,checkpoint_path,created_at,completed_at,accuracy,balanced_accuracy,precision_score,recall_score,f1,macro_f1,micro_f1,weighted_f1,mcc,cohen_kappa,recall_at_1,recall_at_3,recall_at_5,recall_at_10,precision_at_1,precision_at_3,precision_at_5,precision_at_10,mrr,map_score,hit_rate,training_time_seconds,model_parameters,model_size_mb,mean_latency_ms,median_latency_ms,p95_latency_ms
smoke_test_rag,none,bm25,none,none,1,2,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\smoke_test_rag,2026-09-23 16:22:32,2026-09-23 16:22:32,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_exact,none,none,none,none,0,5,42,cuda,failed,"Unknown retriever 'none'. Available: ['bm25', 'tfidf', 'dense', 'hybrid']",,,D:\IPC2BNS-Verify\experiments\checkpoints\baseline_exact,2026-09-23 16:23:41,2026-09-23 16:23:41,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrieval_bm25,none,bm25,none,none,0,5,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\retrieval_bm25,2026-09-23 16:23:41,2026-09-23 16:23:41,0.56,,,,,,,,,,0.56,0.632,0.632,0.632,0.56,0.2107,0.1264,0.0632,0.5907,0.5907,0.632,,,,,,
retrieval_tfidf,none,tfidf,none,none,0,5,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\retrieval_tfidf,2026-09-23 16:23:41,2026-09-23 16:23:41,0.56,,,,,,,,,,0.56,0.64,0.64,0.64,0.56,0.2133,0.128,0.064,0.5947,0.5947,0.64,,,,,,
retrieval_dense_sbert,sentence_transformer,dense,none,none,0,5,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\retrieval_dense_sbert,2026-09-23 16:23:41,2026-09-23 16:24:40,0.56,,,,,,,,,,0.56,0.584,0.6,0.6,0.56,0.1947,0.12,0.06,0.5725,0.5725,0.6,,,,,,
retrieval_hybrid_sbert,sentence_transformer,hybrid,none,none,0,5,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\retrieval_hybrid_sbert,2026-09-23 16:24:40,2026-09-23 16:24:48,0.568,,,,,,,,,,0.568,0.624,0.664,0.664,0.568,0.208,0.1328,0.0664,0.5995,0.5995,0.664,,,,,,
lstm_sbert,sentence_transformer,none,none,lstm,0,5,42,cuda,failed,"input.size(-1) must be equal to input_size. Expected 768, got 384",,,D:\IPC2BNS-Verify\experiments\checkpoints\lstm_sbert,2026-09-23 16:24:48,2026-09-23 16:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,
rag_bm25,none,bm25,none,none,1,5,42,cuda,completed,,,,D:\IPC2BNS-Verify\experiments\checkpoints\rag_bm25,2026-09-23 16:24:56,2026-09-23 16:24:56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
