Retrieval Strategy,Recall@1,Recall@3,Recall@5 (Full),Recall@5 (Valid),MRR,Citation Hit Top-3,Citation Hit Top-5 (Full),Citation Hit Top-5 (Valid)
1. BM25 (Sparse Baseline),10.0% (5/50),38.0% (19/50),46.0% (23/50),47.9% (23/48),0.248,32.0% (16/50),32.0% (16/50),33.3% (16/48)
2. BM25 + Concordance Query Expansion,28.0% (14/50),48.0% (24/50),52.0% (26/50),54.2% (26/48),0.383,48.0% (24/50),48.0% (24/50),50.0% (24/48)
3. Dense Semantic (Cosine Similarity),16.0% (8/50),44.0% (22/50),50.0% (25/50),52.1% (25/48),0.304,48.0% (24/50),48.0% (24/50),50.0% (24/48)
4. Hybrid RRF (BM25 + Dense),12.0% (6/50),42.0% (21/50),48.0% (24/50),50.0% (24/48),0.274,48.0% (24/50),48.0% (24/50),50.0% (24/48)
5. Hybrid RRF + Concordance Expansion,26.0% (13/50),50.0% (25/50),56.0% (28/50),58.3% (28/48),0.391,48.0% (24/50),48.0% (24/50),50.0% (24/48)
6. Hybrid RRF + Re-Ranking (Raw Query Only),14.0% (7/50),34.0% (17/50),40.0% (20/50),41.7% (20/48),0.245,48.0% (24/50),48.0% (24/50),50.0% (24/48)
7. Hybrid RRF + Expansion + Re-Ranking (Proposed Full),34.0% (17/50),50.0% (25/50),56.0% (28/50),58.3% (28/48),0.431,48.0% (24/50),48.0% (24/50),50.0% (24/48)
