stage_id,system_configuration,benchmark_dev_accuracy,dev_95_wilson_ci,adversarial_catch_rate,control_false_positive_rate,amendment_adaptivity_delta,procedural_generalization
Stage 1,Baseline LLM (Closed-Book),10.0% (6/60),[4.7% - 20.1%],N/A (No Verifier),N/A (No Verifier),N/A,23.3% (7/30) [11.8% - 40.9%]
Stage 2,+BM25 RAG (Retrieved Context),63.3% (38/60),[50.7% - 74.4%],N/A (No Verifier),N/A (No Verifier),N/A,60.0% (18/30) [42.3% - 75.4%]
Stage 3,+Two-Layer Hard Verifier,63.3% (38/60) [Verified: 54/60],[50.7% - 74.4%],100.0% (18/18) [82.4% - 100.0%],0.0% (0/12) [0.0% - 24.2%],Pre-Refresh Baseline: 33.3% (1/3),100.0% (30/30) [88.6% - 100.0%]
Stage 4,+Incremental Refresh (Full System),63.3% (38/60) [Verified: 54/60],[50.7% - 74.4%],100.0% (18/18) [82.4% - 100.0%],0.0% (0/12) [0.0% - 24.2%],Pre: 33.3% (1/3) -> Post: 100.0% (3/3) [+66.7%],100.0% (30/30) [88.6% - 100.0%]
Generalization,CrPC (1973) <-> BNSS (2023) Procedural Benchmark,N/A (Procedural Testbed),N/A,100.0% (5/5 drift caught) [56.6% - 100.0%],0.0% (0/25 rejected) [0.0% - 13.3%],N/A (Static Code Pair),100.0% (30/30) [88.6% - 100.0%]
